dteday,hr,instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,day_type,weather_category
2011-01-01,17,18.0,1.0,0.0,1,0.0,6.0,0.0,2.0,0.44,0.4394,0.82,0.2836,15.0,52.0,67.0,Weekend,Mist/Cloudy
2011-01-01,18,19.0,1.0,0.0,1,0.0,6.0,0.0,3.0,0.42,0.4242,0.88,0.2537,9.0,26.0,35.0,Weekend,Light Rain/Snow
2011-01-01,19,20.0,1.0,0.0,1,0.0,6.0,0.0,3.0,0.42,0.4242,0.88,0.2537,6.0,31.0,37.0,Weekend,Light Rain/Snow
2011-01-01,20,21.0,1.0,0.0,1,0.0,6.0,0.0,2.0,0.4,0.4091,0.87,0.2537,11.0,25.0,36.0,Weekend,Mist/Cloudy
2011-01-01,21,22.0,1.0,0.0,1,0.0,6.0,0.0,2.0,0.4,0.4091,0.87,0.194,3.0,31.0,34.0,Weekend,Mist/Cloudy
2011-01-01,22,23.0,1.0,0.0,1,0.0,6.0,0.0,2.0,0.4,0.4091,0.94,0.2239,11.0,17.0,28.0,Weekend,Mist/Cloudy
2011-01-01,23,24.0,1.0,0.0,1,0.0,6.0,0.0,2.0,0.46,0.4545,0.88,0.2985,15.0,24.0,39.0,Weekend,Mist/Cloudy
2011-01-02,0,25.0,1.0,0.0,1,0.0,0.0,0.0,2.0,0.46,0.4545,0.88,0.2985,4.0,13.0,17.0,Weekend,Mist/Cloudy
2011-01-02,1,26.0,1.0,0.0,1,0.0,0.0,0.0,2.0,0.44,0.4394,0.94,0.2537,1.0,16.0,17.0,Weekend,Mist/Cloudy
2011-01-02,2,27.0,1.0,0.0,1,0.0,0.0,0.0,2.0,0.42,0.4242,1.0,0.2836,1.0,8.0,9.0,Weekend,Mist/Cloudy
2011-01-02,3,28.0,1.0,0.0,1,0.0,0.0,0.0,2.0,0.46,0.4545,0.94,0.194,2.0,4.0,6.0,Weekend,Mist/Cloudy
2011-01-02,4,29.0,1.0,0.0,1,0.0,0.0,0.0,2.0,0.46,0.4545,0.94,0.194,2.0,1.0,3.0,Weekend,Mist/Cloudy
2011-01-02,5,,1.0,1.0,1,0.0,1.0,1.0,1.0,0.20140350877192983,0.21186140350877194,0.6456140350877192,0.1757122807017544,0.14035087719298245,10.192982456140351,10.333333333333334,Working Day,Clear
2011-01-02,6,30.0,1.0,0.0,1,0.0,0.0,0.0,3.0,0.42,0.4242,0.77,0.2985,0.0,2.0,2.0,Weekend,Light Rain/Snow
2011-01-02,7,31.0,1.0,0.0,1,0.0,0.0,0.0,2.0,0.4,0.4091,0.76,0.194,0.0,1.0,1.0,Weekend,Mist/Cloudy
2011-01-02,8,32.0,1.0,0.0,1,0.0,0.0,0.0,3.0,0.4,0.4091,0.71,0.2239,0.0,8.0,8.0,Weekend,Light Rain/Snow
2011-01-02,9,33.0,1.0,0.0,1,0.0,0.0,0.0,2.0,0.38,0.3939,0.76,0.2239,1.0,19.0,20.0,Weekend,Mist/Cloudy
2011-01-02,10,34.0,1.0,0.0,1,0.0,0.0,0.0,2.0,0.36,0.3485,0.81,0.2239,7.0,46.0,53.0,Weekend,Mist/Cloudy
2011-01-02,11,35.0,1.0,0.0,1,0.0,0.0,0.0,2.0,0.36,0.3333,0.71,0.2537,16.0,54.0,70.0,Weekend,Mist/Cloudy
2011-01-02,12,36.0,1.0,0.0,1,0.0,0.0,0.0,2.0,0.36,0.3333,0.66,0.2985,20.0,73.0,93.0,Weekend,Mist/Cloudy
2011-01-02,13,37.0,1.0,0.0,1,0.0,0.0,0.0,2.0,0.36,0.3485,0.66,0.1343,11.0,64.0,75.0,Weekend,Mist/Cloudy
2011-01-02,14,38.0,1.0,0.0,1,0.0,0.0,0.0,3.0,0.36,0.3485,0.76,0.194,4.0,55.0,59.0,Weekend,Light Rain/Snow
2011-01-02,15,39.0,1.0,0.0,1,0.0,0.0,0.0,3.0,0.34,0.3333,0.81,0.1642,19.0,55.0,74.0,Weekend,Light Rain/Snow
2011-01-02,16,40.0,1.0,0.0,1,0.0,0.0,0.0,3.0,0.34,0.3333,0.71,0.1642,9.0,67.0,76.0,Weekend,Light Rain/Snow
2011-01-02,17,41.0,1.0,0.0,1,0.0,0.0,0.0,1.0,0.34,0.3333,0.57,0.194,7.0,58.0,65.0,Weekend,Clear
2011-01-02,18,42.0,1.0,0.0,1,0.0,0.0,0.0,2.0,0.36,0.3333,0.46,0.3284,10.0,43.0,53.0,Weekend,Mist/Cloudy
2011-01-02,19,43.0,1.0,0.0,1,0.0,0.0,0.0,1.0,0.32,0.2879,0.42,0.4478,1.0,29.0,30.0,Weekend,Clear
2011-01-02,20,44.0,1.0,0.0,1,0.0,0.0,0.0,1.0,0.3,0.2727,0.39,0.3582,5.0,17.0,22.0,Weekend,Clear
2011-01-02,21,45.0,1.0,0.0,1,0.0,0.0,0.0,1.0,0.26,0.2273,0.44,0.3284,11.0,20.0,31.0,Weekend,Clear
2011-01-02,22,46.0,1.0,0.0,1,0.0,0.0,0.0,1.0,0.24,0.2121,0.44,0.2985,0.0,9.0,9.0,Weekend,Clear
2011-01-02,23,47.0,1.0,0.0,1,0.0,0.0,0.0,1.0,0.22,0.2273,0.47,0.1642,0.0,8.0,8.0,Weekend,Clear
2011-01-03,0,48.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.22,0.197,0.44,0.3582,0.0,5.0,5.0,Working Day,Clear
2011-01-03,1,49.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.2,0.1667,0.44,0.4179,0.0,2.0,2.0,Working Day,Clear
2011-01-03,2,,1.0,1.0,1,0.0,0.0,1.0,1.0,0.21896551724137933,0.2277948275862069,0.6325862068965517,0.18065,1.5172413793103448,11.637931034482758,13.155172413793103,Working Day,Clear
2011-01-03,3,,1.0,1.0,1,0.0,0.0,1.0,1.0,0.21361702127659576,0.22791914893617019,0.63,0.16481702127659575,1.3191489361702127,6.829787234042553,8.148936170212766,Working Day,Clear
2011-01-03,4,50.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.16,0.1364,0.47,0.3881,0.0,1.0,1.0,Working Day,Clear
2011-01-03,5,51.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.16,0.1364,0.47,0.2836,0.0,3.0,3.0,Working Day,Clear
2011-01-03,6,52.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.14,0.1061,0.5,0.3881,0.0,30.0,30.0,Working Day,Clear
2011-01-03,7,53.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.14,0.1364,0.5,0.194,1.0,63.0,64.0,Working Day,Clear
2011-01-03,8,54.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.14,0.1212,0.5,0.2836,1.0,153.0,154.0,Working Day,Clear
2011-01-03,9,55.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.16,0.1364,0.43,0.3881,7.0,81.0,88.0,Working Day,Clear
2011-01-03,10,56.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.18,0.1667,0.43,0.2537,11.0,33.0,44.0,Working Day,Clear
2011-01-03,11,57.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.2,0.1818,0.4,0.3284,10.0,41.0,51.0,Working Day,Clear
2011-01-03,12,58.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.22,0.2121,0.35,0.2985,13.0,48.0,61.0,Working Day,Clear
2011-01-03,13,59.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.24,0.2121,0.35,0.2836,8.0,53.0,61.0,Working Day,Clear
2011-01-03,14,60.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.2836,11.0,66.0,77.0,Working Day,Clear
2011-01-03,15,61.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.2537,14.0,58.0,72.0,Working Day,Clear
2011-01-03,16,62.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.2537,9.0,67.0,76.0,Working Day,Clear
2011-01-03,17,63.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.24,0.2273,0.3,0.2239,11.0,146.0,157.0,Working Day,Clear
2011-01-03,18,64.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.24,0.2576,0.32,0.1045,9.0,148.0,157.0,Working Day,Clear
2011-01-03,19,65.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.2,0.2576,0.47,0.0,8.0,102.0,110.0,Working Day,Clear
2011-01-03,20,66.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.2,0.2273,0.47,0.1045,3.0,49.0,52.0,Working Day,Clear
2011-01-03,21,67.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.18,0.197,0.64,0.1343,3.0,49.0,52.0,Working Day,Clear
2011-01-03,22,68.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.14,0.1515,0.69,0.1343,0.0,20.0,20.0,Working Day,Clear
2011-01-03,23,69.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.18,0.2121,0.55,0.1045,1.0,11.0,12.0,Working Day,Clear
2011-01-04,0,70.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.16,0.1818,0.55,0.1045,0.0,5.0,5.0,Working Day,Clear
2011-01-04,1,71.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.16,0.1818,0.59,0.1045,0.0,2.0,2.0,Working Day,Clear
2011-01-04,2,72.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.14,0.1515,0.63,0.1343,0.0,1.0,1.0,Working Day,Clear
2011-01-04,3,,1.0,1.0,1,0.0,0.0,1.0,1.0,0.21361702127659576,0.22791914893617019,0.63,0.16481702127659575,1.3191489361702127,6.829787234042553,8.148936170212766,Working Day,Clear
2011-01-04,4,73.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.14,0.1818,0.63,0.0896,0.0,2.0,2.0,Working Day,Clear
2011-01-04,5,74.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.12,0.1515,0.68,0.1045,0.0,4.0,4.0,Working Day,Clear
2011-01-04,6,75.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.12,0.1515,0.74,0.1045,0.0,36.0,36.0,Working Day,Clear
2011-01-04,7,76.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.12,0.1515,0.74,0.1343,2.0,92.0,94.0,Working Day,Clear
2011-01-04,8,77.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.14,0.1515,0.69,0.1642,2.0,177.0,179.0,Working Day,Clear
2011-01-04,9,78.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.16,0.1515,0.64,0.2239,2.0,98.0,100.0,Working Day,Clear
2011-01-04,10,79.0,1.0,0.0,1,0.0,2.0,1.0,2.0,0.16,0.1364,0.69,0.3284,5.0,37.0,42.0,Working Day,Mist/Cloudy
2011-01-04,11,80.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.22,0.2121,0.51,0.2985,7.0,50.0,57.0,Working Day,Clear
2011-01-04,12,81.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.22,0.2273,0.51,0.1642,12.0,66.0,78.0,Working Day,Clear
2011-01-04,13,82.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.24,0.2273,0.56,0.194,18.0,79.0,97.0,Working Day,Clear
2011-01-04,14,83.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.26,0.2576,0.52,0.2239,9.0,54.0,63.0,Working Day,Clear
2011-01-04,15,84.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.28,0.2727,0.52,0.2537,17.0,48.0,65.0,Working Day,Clear
2011-01-04,16,85.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.3,0.2879,0.49,0.2537,15.0,68.0,83.0,Working Day,Clear
2011-01-04,17,86.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.28,0.2727,0.48,0.2239,10.0,202.0,212.0,Working Day,Clear
2011-01-04,18,87.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.26,0.2576,0.48,0.194,3.0,179.0,182.0,Working Day,Clear
2011-01-04,19,88.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.24,0.2576,0.48,0.1045,2.0,110.0,112.0,Working Day,Clear
2011-01-04,20,89.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.24,0.2576,0.48,0.1045,1.0,53.0,54.0,Working Day,Clear
2011-01-04,21,90.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.22,0.2727,0.64,0.0,0.0,48.0,48.0,Working Day,Clear
2011-01-04,22,91.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.22,0.2576,0.64,0.0896,1.0,34.0,35.0,Working Day,Clear
2011-01-04,23,92.0,1.0,0.0,1,0.0,2.0,1.0,1.0,0.2,0.2273,0.69,0.0896,2.0,9.0,11.0,Working Day,Clear
2011-01-05,0,93.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.2,0.2576,0.64,0.0,0.0,6.0,6.0,Working Day,Clear
2011-01-05,1,94.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.16,0.197,0.74,0.0896,0.0,6.0,6.0,Working Day,Clear
2011-01-05,2,95.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.16,0.197,0.74,0.0896,0.0,2.0,2.0,Working Day,Clear
2011-01-05,3,,1.0,1.0,1,0.0,0.0,1.0,1.0,0.21361702127659576,0.22791914893617019,0.63,0.16481702127659575,1.3191489361702127,6.829787234042553,8.148936170212766,Working Day,Clear
2011-01-05,4,96.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.24,0.2273,0.48,0.2239,0.0,2.0,2.0,Working Day,Clear
2011-01-05,5,97.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.22,0.2273,0.47,0.1642,0.0,3.0,3.0,Working Day,Clear
2011-01-05,6,98.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.2,0.197,0.47,0.2239,0.0,33.0,33.0,Working Day,Clear
2011-01-05,7,99.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.18,0.1818,0.43,0.194,1.0,87.0,88.0,Working Day,Clear
2011-01-05,8,100.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.2,0.1818,0.4,0.2985,3.0,192.0,195.0,Working Day,Clear
2011-01-05,9,101.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.22,0.197,0.37,0.3284,6.0,109.0,115.0,Working Day,Clear
2011-01-05,10,102.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.22,0.197,0.37,0.3284,4.0,53.0,57.0,Working Day,Clear
2011-01-05,11,103.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.26,0.2273,0.33,0.3284,12.0,34.0,46.0,Working Day,Clear
2011-01-05,12,104.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.26,0.2273,0.33,0.3284,5.0,74.0,79.0,Working Day,Clear
2011-01-05,13,105.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.28,0.2576,0.3,0.2985,6.0,65.0,71.0,Working Day,Clear
2011-01-05,14,106.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.3,0.2879,0.28,0.194,10.0,52.0,62.0,Working Day,Clear
2011-01-05,15,107.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.3,0.2879,0.28,0.194,7.0,55.0,62.0,Working Day,Clear
2011-01-05,16,108.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.3,0.3182,0.28,0.0896,4.0,85.0,89.0,Working Day,Clear
2011-01-05,17,109.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.24,0.2273,0.38,0.194,4.0,186.0,190.0,Working Day,Clear
2011-01-05,18,110.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.24,0.2424,0.38,0.1343,3.0,166.0,169.0,Working Day,Clear
2011-01-05,19,111.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.24,0.2576,0.38,0.1045,5.0,127.0,132.0,Working Day,Clear
2011-01-05,20,112.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.22,0.2273,0.47,0.1642,7.0,82.0,89.0,Working Day,Clear
2011-01-05,21,113.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.2,0.197,0.51,0.194,3.0,40.0,43.0,Working Day,Clear
2011-01-05,22,114.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.18,0.197,0.55,0.1343,1.0,41.0,42.0,Working Day,Clear
2011-01-05,23,115.0,1.0,0.0,1,0.0,3.0,1.0,1.0,0.2,0.2576,0.47,0.0,1.0,18.0,19.0,Working Day,Clear
2011-01-06,0,116.0,1.0,0.0,1,0.0,4.0,1.0,1.0,0.18,0.2424,0.55,0.0,0.0,11.0,11.0,Working Day,Clear
2011-01-06,1,117.0,1.0,0.0,1,0.0,4.0,1.0,1.0,0.16,0.2273,0.64,0.0,0.0,4.0,4.0,Working Day,Clear
2011-01-06,2,118.0,1.0,0.0,1,0.0,4.0,1.0,1.0,0.16,0.2273,0.64,0.0,0.0,2.0,2.0,Working Day,Clear
2011-01-06,3,,1.0,1.0,1,0.0,0.0,1.0,1.0,0.21361702127659576,0.22791914893617019,0.63,0.16481702127659575,1.3191489361702127,6.829787234042553,8.148936170212766,Working Day,Clear
2011-01-06,4,119.0,1.0,0.0,1,0.0,4.0,1.0,2.0,0.16,0.197,0.64,0.0896,0.0,1.0,1.0,Working Day,Mist/Cloudy
2011-01-06,5,120.0,1.0,0.0,1,0.0,4.0,1.0,2.0,0.14,0.1818,0.69,0.0896,0.0,4.0,4.0,Working Day,Mist/Cloudy
2011-01-06,6,121.0,1.0,0.0,1,0.0,4.0,1.0,2.0,0.14,0.1667,0.63,0.1045,0.0,36.0,36.0,Working Day,Mist/Cloudy
2011-01-06,7,122.0,1.0,0.0,1,0.0,4.0,1.0,2.0,0.16,0.2273,0.59,0.0,0.0,95.0,95.0,Working Day,Mist/Cloudy
2011-01-06,8,123.0,1.0,0.0,1,0.0,4.0,1.0,1.0,0.16,0.2273,0.59,0.0,3.0,216.0,219.0,Working Day,Clear
2011-01-06,9,124.0,1.0,0.0,1,0.0,4.0,1.0,2.0,0.18,0.2424,0.51,0.0,6.0,116.0,122.0,Working Day,Mist/Cloudy
2011-01-06,10,125.0,1.0,0.0,1,0.0,4.0,1.0,1.0,0.2,0.2576,0.47,0.0,3.0,42.0,45.0,Working Day,Clear
2011-01-06,11,126.0,1.0,0.0,1,0.0,4.0,1.0,1.0,0.22,0.2576,0.44,0.0896,2.0,57.0,59.0,Working Day,Clear
2011-01-06,12,127.0,1.0,0.0,1,0.0,4.0,1.0,1.0,0.26,0.2879,0.35,0.0,6.0,78.0,84.0,Working Day,Clear
2011-01-06,13,128.0,1.0,0.0,1,0.0,4.0,1.0,1.0,0.26,0.2727,0.35,0.1045,12.0,55.0,67.0,Working Day,Clear
2011-01-06,14,129.0,1.0,0.0,1,0.0,4.0,1.0,1.0,0.28,0.2727,0.36,0.1642,11.0,59.0,70.0,Working Day,Clear
2011-01-06,15,130.0,1.0,0.0,1,0.0,4.0,1.0,1.0,0.28,0.2727,0.36,0.0,8.0,54.0,62.0,Working Day,Clear
2011-01-06,16,131.0,1.0,0.0,1,0.0,4.0,1.0,1.0,0.26,0.2576,0.38,0.1642,12.0,74.0,86.0,Working Day,Clear
2011-01-06,17,132.0,1.0,0.0,1,0.0,4.0,1.0,1.0,0.22,0.2273,0.51,0.1642,9.0,163.0,172.0,Working Day,Clear
2011-01-06,18,133.0,1.0,0.0,1,0.0,4.0,1.0,1.0,0.22,0.2273,0.51,0.1343,5.0,158.0,163.0,Working Day,Clear
2011-01-06,19,134.0,1.0,0.0,1,0.0,4.0,1.0,1.0,0.22,0.2576,0.55,0.0896,3.0,109.0,112.0,Working Day,Clear
2011-01-06,20,135.0,1.0,0.0,1,0.0,4.0,1.0,1.0,0.2,0.2121,0.51,0.1642,3.0,66.0,69.0,Working Day,Clear
2011-01-06,21,136.0,1.0,0.0,1,0.0,4.0,1.0,2.0,0.22,0.2121,0.55,0.2239,0.0,48.0,48.0,Working Day,Mist/Cloudy
2011-01-06,22,137.0,1.0,0.0,1,0.0,4.0,1.0,2.0,0.22,0.2121,0.51,0.2836,1.0,51.0,52.0,Working Day,Mist/Cloudy
2011-01-06,23,138.0,1.0,0.0,1,0.0,4.0,1.0,2.0,0.2,0.197,0.59,0.194,4.0,19.0,23.0,Working Day,Mist/Cloudy
2011-01-07,0,139.0,1.0,0.0,1,0.0,5.0,1.0,2.0,0.2,0.197,0.64,0.194,4.0,13.0,17.0,Working Day,Mist/Cloudy
2011-01-07,1,140.0,1.0,0.0,1,0.0,5.0,1.0,2.0,0.2,0.197,0.69,0.2239,2.0,5.0,7.0,Working Day,Mist/Cloudy
2011-01-07,2,141.0,1.0,0.0,1,0.0,5.0,1.0,2.0,0.2,0.197,0.69,0.2239,0.0,1.0,1.0,Working Day,Mist/Cloudy
2011-01-07,3,,1.0,1.0,1,0.0,0.0,1.0,1.0,0.21361702127659576,0.22791914893617019,0.63,0.16481702127659575,1.3191489361702127,6.829787234042553,8.148936170212766,Working Day,Clear
2011-01-07,4,142.0,1.0,0.0,1,0.0,5.0,1.0,2.0,0.2,0.2121,0.69,0.1343,0.0,1.0,1.0,Working Day,Mist/Cloudy
2011-01-07,5,143.0,1.0,0.0,1,0.0,5.0,1.0,3.0,0.22,0.2727,0.55,0.0,0.0,5.0,5.0,Working Day,Light Rain/Snow
2011-01-07,6,144.0,1.0,0.0,1,0.0,5.0,1.0,2.0,0.2,0.2576,0.69,0.0,8.0,26.0,34.0,Working Day,Mist/Cloudy
2011-01-07,7,145.0,1.0,0.0,1,0.0,5.0,1.0,1.0,0.2,0.2121,0.69,0.1343,8.0,76.0,84.0,Working Day,Clear
2011-01-07,8,146.0,1.0,0.0,1,0.0,5.0,1.0,1.0,0.2,0.197,0.51,0.2537,20.0,190.0,210.0,Working Day,Clear
2011-01-07,9,147.0,1.0,0.0,1,0.0,5.0,1.0,1.0,0.2,0.1818,0.47,0.2985,9.0,125.0,134.0,Working Day,Clear
2011-01-07,10,148.0,1.0,0.0,1,0.0,5.0,1.0,1.0,0.22,0.197,0.37,0.3284,16.0,47.0,63.0,Working Day,Clear
2011-01-07,11,149.0,1.0,0.0,1,0.0,5.0,1.0,2.0,0.2,0.197,0.4,0.2239,19.0,48.0,67.0,Working Day,Mist/Cloudy
2011-01-07,12,150.0,1.0,0.0,1,0.0,5.0,1.0,2.0,0.2,0.197,0.37,0.2537,9.0,50.0,59.0,Working Day,Mist/Cloudy
2011-01-07,13,151.0,1.0,0.0,1,0.0,5.0,1.0,2.0,0.2,0.1818,0.37,0.2836,9.0,64.0,73.0,Working Day,Mist/Cloudy
2011-01-07,14,152.0,1.0,0.0,1,0.0,5.0,1.0,2.0,0.2,0.197,0.4,0.2537,7.0,43.0,50.0,Working Day,Mist/Cloudy
2011-01-07,15,153.0,1.0,0.0,1,0.0,5.0,1.0,2.0,0.2,0.2121,0.37,0.1642,9.0,63.0,72.0,Working Day,Mist/Cloudy
2011-01-07,16,154.0,1.0,0.0,1,0.0,5.0,1.0,2.0,0.2,0.2121,0.37,0.1642,5.0,82.0,87.0,Working Day,Mist/Cloudy
2011-01-07,17,155.0,1.0,0.0,1,0.0,5.0,1.0,2.0,0.2,0.2576,0.37,0.0,9.0,178.0,187.0,Working Day,Mist/Cloudy
2011-01-07,18,156.0,1.0,0.0,1,0.0,5.0,1.0,1.0,0.2,0.2273,0.4,0.0896,7.0,116.0,123.0,Working Day,Clear
2011-01-07,19,157.0,1.0,0.0,1,0.0,5.0,1.0,1.0,0.16,0.197,0.55,0.0896,3.0,92.0,95.0,Working Day,Clear
2011-01-07,20,158.0,1.0,0.0,1,0.0,5.0,1.0,1.0,0.18,0.2121,0.47,0.1045,1.0,50.0,51.0,Working Day,Clear
2011-01-07,21,159.0,1.0,0.0,1,0.0,5.0,1.0,1.0,0.18,0.197,0.47,0.1343,0.0,39.0,39.0,Working Day,Clear
2011-01-07,22,160.0,1.0,0.0,1,0.0,5.0,1.0,2.0,0.18,0.197,0.43,0.1642,2.0,34.0,36.0,Working Day,Mist/Cloudy
2011-01-07,23,161.0,1.0,0.0,1,0.0,5.0,1.0,2.0,0.18,0.197,0.51,0.1642,1.0,14.0,15.0,Working Day,Mist/Cloudy
2011-01-08,0,162.0,1.0,0.0,1,0.0,6.0,0.0,2.0,0.18,0.197,0.51,0.1642,1.0,24.0,25.0,Weekend,Mist/Cloudy
2011-01-08,1,163.0,1.0,0.0,1,0.0,6.0,0.0,2.0,0.18,0.2121,0.55,0.0896,1.0,15.0,16.0,Weekend,Mist/Cloudy
2011-01-08,2,164.0,1.0,0.0,1,0.0,6.0,0.0,2.0,0.18,0.2424,0.55,0.0,3.0,13.0,16.0,Weekend,Mist/Cloudy
2011-01-08,3,165.0,1.0,0.0,1,0.0,6.0,0.0,3.0,0.18,0.197,0.55,0.1642,0.0,7.0,7.0,Weekend,Light Rain/Snow
